@relation 'Relase 4 integrated shortened-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.Remove-R14'

@attribute '\% Profitable Months (IS)' numeric
@attribute '# of profits (IS)' numeric
@attribute '# of trades (IS)' numeric
@attribute '# of losses (IS)' numeric
@attribute 'Annual \% Return (IS)' numeric
@attribute 'CAGR (IS)' numeric
@attribute 'CalmarRatio (IS)' numeric
@attribute 'Avg. \% Profit Per Year (IS)' numeric
@attribute 'Net profit in pips (IS)' numeric
@attribute 'Avg. Yearly Profit In Pips (IS)' numeric
@attribute 'Standard Deviation of Yearly Profit In Pips (IS)' numeric
@attribute 'Count Of Losing Years (IS)' numeric
@attribute 'Coefficient of Variation' numeric
@attribute 'Filters result' {PASSED,FAILED}

@data
63.64,22,32,10,4.41,3.85,2.44,4.41,483.6,60.45,45.86,1,0.758644,FAILED
54.55,24,32,8,5.02,4.31,1.23,5.02,549.9,68.74,57.36,2,0.834449,FAILED
63.64,25,33,8,6.76,5.55,0.78,6.76,741.1,92.64,89.21,1,0.962975,FAILED
63.64,23,32,9,5.02,4.31,1.08,5.01,549.6,68.7,57.91,1,0.84294,FAILED
54.55,23,32,9,3.91,3.46,1.93,3.91,428.3,53.54,48.24,2,0.901009,PASSED
58.33,19,32,13,17.03,11.34,0.62,17.03,1866.1,233.26,215.7,1,0.924719,FAILED
54.55,21,33,12,4.81,4.15,0.72,4.81,512.9,64.11,65.35,2,1.019342,FAILED
54.55,20,32,12,4.75,4.11,0.71,4.75,506.3,63.29,64.07,2,1.012324,FAILED
54.55,19,32,13,2.68,2.46,0.73,2.68,285.8,35.73,65.09,2,1.821718,PASSED
54.55,20,32,12,4.81,4.15,0.72,4.8,512.6,64.08,65.29,2,1.018883,FAILED
50,17,32,15,3.22,2.9,0.08,3.21,343,42.88,179.35,3,4.182603,FAILED
53.85,28,44,16,7.72,6.19,0.74,7.72,823.2,102.9,76.72,1,0.745578,PASSED
53.85,21,35,14,6.65,5.47,0.71,6.65,708.9,88.61,81.29,1,0.917391,PASSED
53.85,24,36,12,7.6,6.12,1.15,7.6,811,101.37,98.63,1,0.97297,PASSED
53.85,29,46,17,7.66,6.16,0.74,7.66,816.8,102.1,81.36,1,0.796866,PASSED
53.85,23,37,14,6.73,5.53,0.91,6.73,718,89.75,72.19,1,0.804345,PASSED
30.77,21,38,17,6.12,5.11,0.89,6.12,653.1,81.64,141.81,4,1.737016,PASSED
53.85,24,36,12,7.47,6.03,1.06,7.47,797.3,99.66,96.74,1,0.9707,PASSED
53.85,23,35,12,7.41,5.99,1.11,7.41,790.9,98.86,95.94,1,0.970463,PASSED
38.46,21,36,15,5.99,5.02,0.73,5.99,639.3,79.91,124.75,3,1.561131,PASSED
53.85,25,36,11,7.64,6.15,1.31,7.64,815.4,101.93,78.11,1,0.76631,PASSED
53.85,23,36,13,6.95,5.69,0.95,6.95,741.8,92.72,79.85,1,0.861195,PASSED
38.46,21,36,15,6.12,5.11,0.74,6.12,652.7,81.59,128.49,3,1.574825,PASSED
30.77,21,37,16,5.73,4.83,0.8,5.73,611.3,76.41,148.81,4,1.94752,PASSED
53.85,22,36,14,6.8,5.58,0.79,6.8,725.7,90.71,95.83,1,1.056444,PASSED
53.85,22,36,14,6.71,5.52,0.78,6.71,715.7,89.46,95.47,1,1.067181,PASSED
53.85,25,36,11,7.73,6.2,0.87,7.73,824.5,103.06,85.8,1,0.832525,PASSED
53.85,26,42,16,8.2,6.51,0.8,8.2,874.5,109.31,92.93,1,0.850151,PASSED
53.85,28,45,17,6.89,5.64,0.77,6.89,735.3,91.91,86.81,1,0.944511,PASSED
53.85,23,37,14,7.1,5.79,0.86,7.1,757.6,94.7,76.23,1,0.804963,PASSED
53.85,24,36,12,7.04,5.74,0.98,7.04,750.5,93.81,84.96,1,0.90566,PASSED
53.85,27,37,10,8.46,6.67,0.92,8.46,902.4,112.8,86.09,1,0.763209,PASSED
53.85,23,36,13,7.29,5.91,0.89,7.3,778.1,97.26,83.09,1,0.854308,PASSED
53.85,22,35,13,7.31,5.93,0.91,7.31,780.2,97.53,79.31,1,0.813186,PASSED
53.85,29,46,17,6.76,5.55,0.75,6.76,720.9,90.11,88.62,1,0.983465,PASSED
53.85,22,35,13,7.16,5.83,0.87,7.16,764,95.5,79.99,1,0.837592,PASSED
30.77,27,45,18,5.87,4.93,0.72,5.87,626,78.25,133.01,4,1.699808,PASSED
38.46,24,39,15,6.63,5.47,0.77,6.64,707.7,88.46,125.26,3,1.416007,PASSED
53.85,22,36,14,7.96,6.35,1.46,7.96,849,106.13,77.88,1,0.733817,PASSED
53.85,24,37,13,6.67,5.49,0.79,6.67,711,88.87,68.06,1,0.765838,PASSED
38.46,28,45,17,5.55,4.7,0.74,5.55,591.5,73.94,117.64,3,1.59102,PASSED
61.54,27,37,10,8.01,6.38,0.86,8.01,853.9,106.74,75.74,0,0.709575,PASSED
46.15,22,37,15,5.71,4.81,0.76,5.71,608.6,76.07,113.09,2,1.486657,PASSED
53.85,22,36,14,6.75,5.54,0.72,6.75,719.9,89.99,83.2,1,0.924547,PASSED
30.77,23,36,13,6.51,5.38,0.78,6.51,694.4,86.8,141.32,4,1.628111,PASSED
53.85,23,36,13,7.07,5.77,0.86,7.07,754.5,94.31,77.98,1,0.826848,PASSED
53.85,23,35,12,7.42,6,1.11,7.42,791.4,98.92,96.05,1,0.970987,PASSED
53.85,26,37,11,7.95,6.35,0.89,7.95,848.1,106.01,90.18,1,0.850674,PASSED
53.85,22,35,13,6.73,5.53,0.91,6.73,717.7,89.71,74.33,1,0.828559,PASSED
53.85,22,36,14,6.89,5.64,0.72,6.89,735.4,91.93,85.06,1,0.925269,PASSED
53.85,23,36,13,6.89,5.64,0.94,6.89,735.2,91.9,78.29,1,0.851904,PASSED
53.85,21,35,14,6.83,5.6,0.71,6.83,728.5,91.06,84.17,1,0.924336,PASSED
53.85,23,36,13,7.03,5.73,0.85,7.03,749.5,93.69,76.96,1,0.821432,PASSED
53.85,26,38,12,7.47,6.03,0.84,7.47,796.3,99.54,79.95,1,0.803195,PASSED
53.85,33,51,18,7.41,5.99,0.8,7.41,790.2,98.77,75.44,1,0.763795,PASSED
53.85,27,41,14,7.84,6.27,0.85,7.84,835.9,104.49,92.3,1,0.883338,PASSED
53.85,24,37,13,8.83,6.91,0.77,8.83,942,117.75,84.51,1,0.717707,PASSED
53.85,23,36,13,8.05,6.41,1.48,8.05,858.4,107.3,78.97,1,0.735974,PASSED
30.77,21,36,15,5.23,4.46,0.8,5.23,557.7,69.71,139.24,4,1.997418,PASSED
53.85,21,36,15,7.58,6.11,1.12,7.58,808.7,101.09,84.37,1,0.834603,PASSED
53.85,23,37,14,6.97,5.7,0.88,6.97,743.6,92.95,77.07,1,0.829155,PASSED
53.85,30,47,17,6.41,5.31,0.73,6.41,683.6,85.45,83.68,1,0.979286,PASSED
53.85,25,37,12,8.07,6.42,0.91,8.07,860.8,107.6,87.55,1,0.813662,PASSED
53.85,27,37,10,8.37,6.61,0.91,8.37,892.4,111.55,83.85,1,0.751681,PASSED
53.85,28,43,15,8,6.38,0.88,8,853.7,106.71,90.53,1,0.848374,PASSED
53.85,30,47,17,6.49,5.37,0.73,6.49,692.1,86.51,83.31,1,0.96301,PASSED
46.15,22,35,13,5.59,4.73,0.8,5.59,596.4,74.55,110.17,2,1.4778,PASSED
38.46,24,42,18,5.89,4.94,0.71,5.89,627.8,78.48,123.58,3,1.574669,PASSED
53.85,24,37,13,8.77,6.87,0.76,8.77,935.4,116.93,83.58,1,0.714787,PASSED
53.85,25,35,10,7.92,6.33,1.45,7.93,845.3,105.66,96.64,1,0.914632,PASSED
53.85,23,36,13,7.44,6.01,0.92,7.44,793.4,99.17,80.67,1,0.813452,PASSED
61.54,26,36,10,7.7,6.18,0.84,7.7,820.9,102.61,70.32,0,0.685313,PASSED
53.85,26,40,14,8.22,6.52,0.92,8.22,876.9,109.61,105.2,1,0.959766,PASSED
46.15,22,35,13,5.78,4.86,0.83,5.78,616.4,77.05,114.99,2,1.492408,PASSED
30.77,20,35,15,4.99,4.29,0.76,4.99,532.2,66.52,131.38,4,1.975045,PASSED
30.77,24,38,14,6.96,5.69,0.83,6.95,741.9,92.74,155.33,4,1.674898,PASSED
30.77,20,35,15,4.71,4.08,0.71,4.71,502.2,62.77,122.23,4,1.947268,PASSED
46.15,22,35,13,5.41,4.6,0.77,5.41,576.8,72.1,105.64,2,1.465187,PASSED
53.85,22,37,15,6.68,5.5,0.72,6.68,712.3,89.04,82.64,1,0.928122,PASSED
53.85,27,41,14,7.52,6.07,0.81,7.52,802.4,100.3,88.57,1,0.883051,PASSED
