Strategy name,Symbol,% Profitable Months (IS),# of profits (IS),# of trades (IS),# of losses (IS),Annual % Return (IS),CAGR (IS),CalmarRatio (IS),Avg. % Profit Per Year (IS),Net profit in pips (IS),Avg. Yearly Profit In Pips (IS),Standard Deviation of Yearly Profit In Pips (IS),Count Of Losing Years (IS),Coefficient of Variation,Net profit (OOS),Filters result
Strategy 0.1136,AUDCAD_M1_UTC2,63.64,23,37,14,4.07,3.58,0.82,4.07,433.8,54.22,68.98,1,1.272224271,87.0,PASSED
Strategy 0.140,AUDCAD_M1_UTC2,63.64,20,32,12,5.52,4.68,0.92,5.52,588.4,73.55,83.82,1,1.139632903,-75.75,FAILED
Strategy 0.144,AUDCAD_M1_UTC2,63.64,20,32,12,4.57,3.97,0.87,4.57,487.9,60.99,78.17,1,1.281685522,8.25,FAILED
Strategy 0.1599,AUDCAD_M1_UTC2,54.55,20,32,12,4.5,3.92,1.02,4.5,480.3,60.04,79.36,2,1.321785476,87.0,PASSED
Strategy 0.1655,AUDCAD_M1_UTC2,63.64,21,32,11,5.67,4.79,1.01,5.67,604.6,75.57,83.16,1,1.100436681,-98.25,FAILED
Strategy 0.1854,AUDCAD_M1_UTC2,54.55,22,35,13,3.47,3.11,0.82,3.47,370.0,46.25,60.16,2,1.300756757,152.25,PASSED
Strategy 0.2024,AUDCAD_M1_UTC2,63.64,21,32,11,5.58,4.72,0.99,5.58,595.3,74.41,81.75,1,1.098642656,-98.25,FAILED
Strategy 0.2376,AUDCAD_M1_UTC2,54.55,21,33,12,7.45,6.02,0.86,7.45,794.9,99.36,125.31,2,1.261171498,-447.75,FAILED
Strategy 0.271,AUDCAD_M1_UTC2,54.55,17,32,15,3.96,3.5,0.72,3.96,422.6,52.82,75.84,2,1.435819765,-102.75,FAILED
Strategy 0.2957,AUDCAD_M1_UTC2,63.64,20,33,13,5.5,4.66,0.92,5.5,586.5,73.31,83.53,1,1.139407993,-75.75,FAILED
Strategy 0.296,AUDCAD_M1_UTC2,54.55,19,33,14,6.53,5.4,0.75,6.53,696.8,87.1,130.02,2,1.492766935,-379.5,FAILED
Strategy 0.3032,AUDCAD_M1_UTC2,45.45,21,34,13,6.15,5.13,0.71,6.15,655.7,81.96,126.97,3,1.549170327,-584.25,FAILED
Strategy 0.3102,AUDCAD_M1_UTC2,63.64,19,35,16,4.25,3.73,0.85,4.25,453.2,56.65,61.43,1,1.084377758,64.5,PASSED
Strategy 0.3133,AUDCAD_M1_UTC2,54.55,21,33,12,7.34,5.95,0.84,7.34,783.3,97.91,122.85,2,1.254723726,-447.75,FAILED
Strategy 0.358,AUDCAD_M1_UTC2,54.55,23,36,13,3.12,2.83,0.73,3.12,333.2,41.65,59.64,2,1.431932773,152.25,PASSED
Strategy 0.359,AUDCAD_M1_UTC2,54.55,20,32,12,4.77,4.12,0.85,4.77,508.8,63.6,87.27,2,1.372169811,-30.0,FAILED
Strategy 0.3754,AUDCAD_M1_UTC2,54.55,19,33,14,3.94,3.48,0.71,3.94,419.9,52.49,89.73,2,1.70946847,1.5,FAILED
Strategy 0.3920,AUDCAD_M1_UTC2,63.64,24,33,9,3.77,3.35,0.76,3.77,402.4,50.3,52.29,1,1.039562624,-564.75,FAILED
Strategy 0.4006,AUDCAD_M1_UTC2,54.55,18,32,14,4.46,3.88,1.1,4.45,475.2,59.4,73.45,2,1.236531987,64.5,PASSED
Strategy 0.4015,AUDCAD_M1_UTC2,54.55,18,32,14,4.55,3.96,1.13,4.55,485.2,60.65,74.59,2,1.229843364,64.5,PASSED
Strategy 0.406,AUDCAD_M1_UTC2,45.45,18,32,14,1.48,1.41,0.71,1.48,157.6,19.7,32.31,3,1.640101523,-215.25,FAILED
Strategy 0.415,AUDCAD_M1_UTC2,45.45,19,33,14,6.4,5.3,0.73,6.4,682.8,85.35,116.22,3,1.36168717,-363.75,FAILED
Strategy 0.423,AUDCAD_M1_UTC2,54.55,20,32,12,4.71,4.07,0.79,4.7,501.9,62.74,89.79,2,1.431144405,-7.5,FAILED
Strategy 0.4428,AUDCAD_M1_UTC2,54.55,18,32,14,4.4,3.84,1.08,4.4,469.0,58.63,72.81,2,1.241855705,64.5,PASSED
Strategy 0.4809,AUDCAD_M1_UTC2,63.64,22,34,12,3.36,3.02,0.88,3.36,358.0,44.75,62.35,1,1.393296089,152.25,PASSED
Strategy 0.4948,AUDCAD_M1_UTC2,54.55,20,32,12,4.48,3.9,1.02,4.48,477.9,59.74,76.4,2,1.278875126,87.0,PASSED
Strategy 0.4950,AUDCAD_M1_UTC2,54.55,20,32,12,4.33,3.79,0.98,4.33,462.1,57.76,75.04,2,1.299168975,87.0,PASSED
Strategy 0.5273,AUDCAD_M1_UTC2,54.55,23,36,13,3.36,3.02,0.79,3.37,358.9,44.86,61.59,2,1.372938029,152.25,PASSED
Strategy 0.55,AUDCAD_M1_UTC2,54.55,22,32,10,3.06,2.77,0.8,3.06,326.1,40.76,61.13,2,1.499754661,152.25,PASSED
Strategy 0.5507,AUDCAD_M1_UTC2,63.64,24,33,9,3.58,3.2,0.72,3.59,382.4,47.8,53.11,1,1.111087866,-564.75,FAILED
Strategy 0.563,AUDCAD_M1_UTC2,63.64,23,32,9,3.85,3.41,0.78,3.85,410.6,51.33,52.2,1,1.016949153,-564.75,FAILED
Strategy 0.5754,AUDCAD_M1_UTC2,54.55,20,32,12,4.06,3.58,0.91,4.06,433.4,54.17,69.84,2,1.289274506,87.0,PASSED
Strategy 0.612,AUDCAD_M1_UTC2,45.45,21,33,12,6.25,5.2,0.72,6.25,666.2,83.27,129.01,3,1.549297466,-584.25,FAILED
