Row Labels,Average of Volatility,,,
2003.05,0.225993056,0.219319788,2003,0.037078193
2003.06,0.209473161,,,
2003.07,0.201952652,,,
2003.08,0.210779018,,,
2003.09,0.250145833,,,
2003.10,0.235311594,,,
2003.11,0.229672917,,,
2003.12,0.191230072,,,
2004.01,0.210267045,0.232920804,2004,0.050679209
2004.02,0.210441667,,,
2004.03,0.244012704,,,
2004.04,0.283973485,,,
2004.05,0.2906,,,
2004.06,0.278876248,,,
2004.07,0.243342803,,,
2004.08,0.225579545,,,
2004.09,0.194335227,,,
2004.10,0.191509921,,,
2004.11,0.19630303,,,
2004.12,0.225807971,,,
2005.01,0.232914343,0.201973724,2005,0.019732129
2005.02,0.201202083,,,
2005.03,0.189681159,,,
2005.04,0.199323413,,,
2005.05,0.1825,,,
2005.06,0.199882576,,,
2005.07,0.221543651,,,
2005.08,0.221065217,,,
2005.09,0.215768939,,,
2005.10,0.188880952,,,
2005.11,0.176363636,,,
2005.12,0.194558712,,,
2006.01,0.202744318,0.190876749,2006,0.008635154
2006.02,0.19110625,,,
2006.03,0.199505435,,,
2006.04,0.191397917,,,
2006.05,0.25398913,,,
2006.06,0.186537879,,,
2006.07,0.176714286,,,
2006.08,0.167371377,,,
2006.09,0.187710317,,,
2006.10,0.173547348,,,
2006.11,0.177043561,,,
2006.12,0.182853175,,,
2007.01,0.175096014,0.208627162,2007,0.026385567
2007.02,0.19291875,,,
2007.03,0.238568182,,,
2007.04,0.173376984,,,
2007.05,0.148440217,,,
2007.06,0.157642857,,,
2007.07,0.208810606,,,
2007.08,0.310012681,,,
2007.09,0.218958333,,,
2007.10,0.19367029,,,
2007.11,0.290265152,,,
2007.12,0.195765873,,,
2008.01,0.28232971,0.293930666,2008,0.111689071
2008.02,0.203922619,,,
2008.03,0.329414683,,,
2008.04,0.25938447,,,
2008.05,0.214590909,,,
2008.06,0.203484127,,,
2008.07,0.202320652,,,
2008.08,0.203144841,,,
2008.09,0.372232955,,,
2008.10,0.552552536,,,
2008.11,0.40064375,,,
2008.12,0.303146739,,,
2009.01,0.299988636,0.23602374,2009,0.053782145
2009.02,0.28725,,,
2009.03,0.318070076,,,
2009.04,0.252524621,,,
2009.05,0.244125,,,
2009.06,0.245528409,,,
2009.07,0.216237319,,,
2009.08,0.202672619,,,
2009.09,0.197642045,,,
2009.10,0.199693182,,,
2009.11,0.181984127,,,
2009.12,0.186568841,,,
2010.01,0.201025794,0.172603657,2010,-0.009637938
2010.02,0.17615,,,
2010.03,0.157668478,,,
2010.04,0.168895833,,,
2010.05,0.287625,,,
2010.06,0.17557197,,,
2010.07,0.176255682,,,
2010.08,0.162452652,,,
2010.09,0.146679924,,,
2010.10,0.138228175,,,
2010.11,0.144128788,,,
2010.12,0.136561594,,,
2011.01,0.140041667,0.129769072,2011,-0.052472523
2011.02,0.12173125,,,
2011.03,0.172351449,,,
2011.04,0.168547619,,,
2011.05,0.146284091,,,
2011.06,0.116592803,,,
2011.07,0.121369048,,,
2011.08,0.159181159,,,
2011.09,0.1204375,,,
2011.10,0.117188492,,,
2011.11,0.093827652,,,
2011.12,0.079676136,,,
2012.01,0.081479167,0.106343434,2012,-0.075898161
2012.02,0.113234127,,,
2012.03,0.155028409,,,
2012.04,0.136757937,,,
2012.05,0.094143116,,,
2012.06,0.119767857,,,
2012.07,0.088119318,,,
2012.08,0.082326087,,,
2012.09,0.085166667,,,
2012.10,0.089905797,,,
2012.11,0.111785985,,,
